
MERCHANT REFERENCE ID,TRACKING ID,MERCHANT,TYPE,VALUE,WEIGHT(kg),SIZE,VENDOR,CURRENT FACILITY,FIRST EXPECTED TIME,CURRENT STATUS,CURRENT STATUS TIME,RTO TYPE,VERTICAL,PICKUP TRACKING ID,DELIVERY TRACKING ID,DESTINATION CITY,DESTINATION STATE,PINCODE,INVOICE DATE,INVOICE NO,PRODUCT NAME,PRODUCT QUANTITY,SOURCE CITY,FULFILMENT TYPE,SOURCE FACILITY,DESTINATION FACILITY,HANDOVER INITIATED DATE,HANDOVER COMPLETED DATE,ORDER ID,ORDER ITEM SEQ ID
SLP4213804287,SDLC1031286266,SDL,COD,499.0,0.225,COD,E-Kart Logistics,Fkl-ahmedabad01,23/05/24 17:50:48,returned_to_seller,05/06/24 18:32:46,Approved,T Shirts,--,--,ADILABAD,TELANGANA,504251,2024-05-19T10:54:34+05:30,SF042E/24/6390 ,"Veirdo - Black Cotton Regular Fit Men's T-Shirt ( Pack of 1 ) (Color: Black, Size: L) ",1,--,non-fbf,Fkl-ahmedabad01,Fkl-ahmedabad01,--,--,SLP4213804287 ,""
S8476220716,FMPP2330562042,FKMP,Prepaid,1604.0,16.234,Prepaid,E-Kart Logistics,fkl_GroceryHYD,19/05/24 12:09:03,rto_completed,29/05/24 16:16:06,Approved,dish_washing_bar,--,--,Bellampalle,Telangana,504251,2024-05-19T12:09:03+05:30,FAIDNF2500536778 FAIDNF2500536778 FAIDNF2500536778 FAI5062500180839 FAIDNF2500536778 FAIDNF2500536778 FAIDNF2500536778 FAIDNF2500536778 FAIDNF2500536778 FAIDNF2500536778 FAIDNF2500536778 FAIDNF2500536778 FAIDNF2500536778 FAIDNF2500536778 FAIDNF2500536778 FAIDNF2500536778 FAIDNF2500536778 FAJEWC2500203940 FAJEWC2500203940 FAJEWC2500203940 FAJEWC2500203940 FAJEWC2500203940 FAJEWC2500203940 FAIDNF2500536778 FAIDNF2500536778 ,"My Kitchen Urad Dal Urad Dal 1 kg 8908012586074 200 AASHIRVAAD Vermicelli, Made from Wheat Plain 850 g 8901725118846 89 AASHIRVAAD Vermicelli, Made from Wheat Plain 850 g 8901725118846 89 Classic Raw Peanut Whole Peanut 1 kg 8904293723368 250 AASHIRVAAD Atta with Multigrains Multigrain Flour 1 kg 8901725121648, 8901725112608 71 Tata Vacuum Evaporated Iodized Salt 1 kg 8904043901015 28 Let's Try Kettle Cooked Garlic Bhujia Bhujia Sev 32 g 8906161390801 15 Vijay Thick 1 kg Vijay Thick Poha Poha 8906012230812 8906012230812 90 Vijay Thick 1 kg Vijay Thick Poha Poha 8906012230812 8906012230812 90 Freedom Refined Sunflower Oil 1 Pouch {"""":""""} 8906035030055 139 Freedom Refined Sunflower Oil 1 Pouch {"""":""""} 8906035030055 139 Freedom Refined Sunflower Oil 1 Pouch {"""":""""} 8906035030055 139 AASHIRVAAD Bansi Rava Rava 1 kg 8901725001087 72 AASHIRVAAD Bansi Rava Rava 1 kg 8901725001087 72 AASHIRVAAD Bansi Rava Rava 1 kg 8901725001087 72 Flipkart Supermart Durum Wheat Semolina Fusilli 400 g 8904293710467 120 Flipkart Supermart Durum Wheat Semolina Fusilli 400 g 8904293710467 120 MYSORE SANDAL Soap 75 g 8901287100211, 8901287100013 42 MYSORE SANDAL Soap 75 g 8901287100211, 8901287100013 42 MYSORE SANDAL Soap 75 g 8901287100211, 8901287100013 42 MYSORE SANDAL Soap 75 g 8901287100211, 8901287100013 42 MYSORE SANDAL Soap 75 g 8901287100211, 8901287100013 42 MYSORE SANDAL Soap 75 g 8901287100211, 8901287100013 42 Tata Sampann Unpolished Yellow Chana Dal 500 g 8904043926629 69 Vim Anti Smell with Pudina Dishwash Bar 8901030875649, 8901030886010, 8901030915796 130 ",25,Hyderabad,non-fbf,fkl_GroceryHYD,fkl_GroceryHYD,--,--,OD331293684534401200 OD331293684534401200 OD331293684534401200 OD331293684534401200 OD331293684534401200 OD331293684534401200 OD331293684534401200 OD331293684534401200 OD331293684534401200 OD331293684534401200 OD331293684534401200 OD331293684534401200 OD331293684534401200 OD331293684534401200 OD331293684534401200 OD331293684534401200 OD331293684534401200 OD331293684534401200 OD331293684534401200 OD331293684534401200 OD331293684534401200 OD331293684534401200 OD331293684534401200 OD331293684534401200 OD331293684534401200 ,331293684534401200 331293684534401211 331293684534401211 331293684534401202 331293684534401212 331293684534401210 331293684534401208 331293684534401205 331293684534401205 331293684534401201 331293684534401201 331293684534401201 331293684534401206 331293684534401206 331293684534401206 331293684534401203 331293684534401203 331293684534401204 331293684534401204 331293684534401204 331293684534401204 331293684534401204 331293684534401204 331293684534401207 331293684534401209 
F-4297034608838340,FMPC3729328789,FKMP,COD,225.0,0.4,COD,E-Kart Logistics,FKL_DELInCity,22/05/24 04:31:51,cancel_ndr,03/06/24 01:12:37,Approved,Contact Lens,--,--,Bellampalle,Telangana,504251,2024-05-21T15:20:05+05:30,FABTST2500016882 ,Diamond Eye Monthly Disposable ,1,Delhi,non-fbf,FKL_DELInCity,FKL_DELInCity,--,--,OD431313648373311100 ,431313648373311100 
C-25907382890539460,FMPC3731085951,FKMP,COD,1434.0,0.9,COD,E-Kart Logistics,fkl-Coimbatore,23/05/24 10:22:46,returned_to_seller,07/06/24 19:35:05,Approved,Tap Mount Water Filters,--,--,Bellampalle,Telangana,504251,2024-05-22T10:43:40+05:30,FAJBIS2500000371 ,BEEPOWER TANK FILTER 1.5 INCH WATER FILER DISC TYPE Tap Mount Water Filter ,1,Kovaipudur,non-fbf,fkl-Coimbatore,fkl-Coimbatore,--,--,OD431320891777608100 ,431320891777608100 
S8588430307,FMPC3731164412,FKMP,COD,448.0,0.234,COD,E-Kart Logistics,FKL_Bhiwandi_BTS,22/05/24 10:56:13,rto_completed,06/06/24 09:11:33,Approved,body_pain_relief,--,--,Bellampalle,Telangana,504251,2024-05-22T10:56:13+05:30,FAFO8F2500090829 ,"MOOV Instant Pain Relief Spray - 50 g, Pack of 3 Spray ",1,Bhiwandi,non-fbf,FKL_Bhiwandi_BTS,FKL_Bhiwandi_BTS,--,--,OD431315630219131100 ,431315630219131100 
C-29411172020439375,FMPP2331482943,FKMP,Prepaid,305.0,6.0,Prepaid,E-Kart Logistics,FKL_DELInCity,23/05/24 04:56:40,rto_request_failed,02/06/24 18:47:37,Approved,Shopsy Dumbbells,--,--,Bellampalle,Telangana,504251,2024-05-20T08:47:01+05:30,FAABHR2500001614 ,Protoner PVC hex (3kg+3kg) Fixed Weight Dumbbell ,1,Delhi,non-fbf,FKL_DELInCity,FKL_DELInCity,--,--,OD431212303660206400 ,431212303660206401 
F-24447083397988201,FMPC3715309232,FKMP,COD,1209.0,0.672,COD,E-Kart Logistics,Fkl-MUMFlexSai4,17/05/24 11:46:21,cancel_ndr,31/05/24 02:14:41,Approved,Torches,--,--,Bellampalle,Telangana,504251,2024-05-16T11:08:35+05:30,FAENVB2500085073 ,"MZ M982 (ZOOMABLE METAL LED TORCH)5 Modes Flashlight, Super Bright 200 W LED Light Torch ",1,Thane,non-fbf,Fkl-MUMFlexSai4,Fkl-MUMFlexSai4,--,--,OD431269103251346100 ,431269103251346100 
A-27654901311946193,FMPC3714460792,FKMP,COD,294.0,0.3,COD,E-Kart Logistics,Fkl-ahmedabad01,17/05/24 15:19:36,rto_completed,07/06/24 12:51:21,Approved,Pet Supplies New,--,--,Madaram Adilabad District,Telangana,504272,2024-05-16T08:47:45+05:30,FACNUQ2500000110 ,"PET360 Omega 3+6 Concentrated Salmon Fish Oil with Vitamins, Minerals & Taurine, Advanced Skin & Coat Formula for Dogs & Cats Pet Health Supplements ",1,Ahmedabad,non-fbf,Fkl-ahmedabad01,Fkl-ahmedabad01,--,--,OD331263037210765100 ,331263037210765100 
E-28063915303734265,FMPC3726896593,FKMP,COD,1199.0,0.34,COD,E-Kart Logistics,fkl_soukyaRD,22/05/24 01:58:31,rto_completed,07/06/24 13:03:01,Approved,Men Tshirt,--,--,Madaram Adilabad District,Telangana,504272,2024-05-21T11:38:35+05:30,FAOMC82500032475 ,Snitch Checkered Men Polo Neck Multicolor T-Shirt ,1,Bengaluru,non-fbf,fkl_soukyaRD,fkl_soukyaRD,--,--,OD431303991807870100 ,431303991807870101 
S8481939866,FMPC3727368754,FKMP,COD,795.0,9.226,COD,E-Kart Logistics,fkl_GroceryHYD,21/05/24 04:01:32,rto_completed,03/06/24 16:00:17,Approved,liquid_detergent,--,--,Mancherial District,Telangana,504251,2024-05-21T04:01:32+05:30,FAIDNF2500554470 FAIDNF2500554470 FAIDNF2500554470 FAIDNF2500554470 ,"Maaza Refresh Multipack Fruit 1350 ml 8901764175084, 8901764175107 100 Thums Up NA Carbonated Beverage 2000 ml 8901764042935 165 Thums Up NA Carbonated Beverage 2000 ml 8901764042935 165 Surf excel Multi-Fragrance Matic Top Load Pouch 3.2 8901030928147, 8901030962356, 8901030695438 885 ",4,Hyderabad,non-fbf,fkl_GroceryHYD,fkl_GroceryHYD,--,--,OD431307293220066200 OD431307293220066200 OD431307293220066200 OD431307293220066200 ,431307293220066200 431307293220066202 431307293220066202 431307293220066201 
